rank,word,freq_per_million,zipf
181,হয়েছিল,676.0,5.83
182,অনুষ্ঠিত,661.0,5.82
183,দেখে,661.0,5.82
184,সকল,661.0,5.82
185,ছবি,646.0,5.81
186,দেওয়া,646.0,5.81
187,নামে,646.0,5.81
188,৩,646.0,5.81
189,একই,631.0,5.8
190,ফলে,631.0,5.8
191,ভাল,631.0,5.8
192,যেতে,631.0,5.8
193,র,631.0,5.8
194,চেষ্টা,617.0,5.79
195,নারী,617.0,5.79
196,নির্বাচন,617.0,5.79
197,বছরের,617.0,5.79
198,শিক্ষা,617.0,5.79
199,৫,617.0,5.79
200,আন্তর্জাতিক,603.0,5.78
201,সরকারের,603.0,5.78
202,সামনে,603.0,5.78
203,আল,589.0,5.77
204,কী,589.0,5.77
205,মাঝে,589.0,5.77
206,সাধারণ,589.0,5.77
207,হওয়ার,589.0,5.77
208,ছোট,575.0,5.76
209,জেলা,575.0,5.76
210,দেশে,575.0,5.76
211,সম্পর্কে,575.0,5.76
212,হাতে,575.0,5.76
213,করবেন,562.0,5.75
214,ছাড়া,562.0,5.75
215,তথ্য,562.0,5.75
216,দেয়া,562.0,5.75
217,বাংলা,562.0,5.75
218,কম,550.0,5.74
219,দেখুন,550.0,5.74
220,পারেন,550.0,5.74
221,যেখানে,550.0,5.74
222,যেমন,550.0,5.74
223,সদস্য,550.0,5.74
224,উত্তর,537.0,5.73
225,ঘোষণা,537.0,5.73
226,টি,537.0,5.73
227,তিন,537.0,5.73
228,ধরনের,537.0,5.73
229,নিতে,537.0,5.73
230,ভারতের,537.0,5.73
231,মৃত্যু,537.0,5.73
232,গিয়ে,525.0,5.72
233,দিয়েছে,525.0,5.72
234,ভাই,525.0,5.72
235,ভিডিও,525.0,5.72
236,খবর,513.0,5.71
237,৪,513.0,5.71
238,একটু,501.0,5.7
239,চেয়ে,501.0,5.7
240,ভারত,501.0,5.7
241,অভিযোগ,490.0,5.69
242,এসে,490.0,5.69
243,ক্ষেত্রে,490.0,5.69
244,দেশ,490.0,5.69
245,নাকি,490.0,5.69
246,বলতে,490.0,5.69
247,বিষয়ে,490.0,5.69
248,ব্যবস্থা,490.0,5.69
249,মাত্র,490.0,5.69
250,সমস্যা,490.0,5.69
251,আসে,479.0,5.68
252,থাকবে,479.0,5.68
253,বিশ্বাস,479.0,5.68
254,ব্যাপারে,479.0,5.68
255,ওই,468.0,5.67
256,করছেন,468.0,5.67
257,কিভাবে,468.0,5.67
258,চায়,468.0,5.67
259,তুলে,468.0,5.67
260,দেন,468.0,5.67
261,প্রধানমন্ত্রী,468.0,5.67
262,ফিরে,468.0,5.67
263,বলেছেন,468.0,5.67
264,বলেন,468.0,5.67
265,সময়ে,468.0,5.67
266,সুন্দর,468.0,5.67
267,সুযোগ,468.0,5.67
268,অন্যান্য,457.0,5.66
269,ছেলে,457.0,5.66
270,থাকা,457.0,5.66
271,ভাবে,457.0,5.66
272,যাওয়া,457.0,5.66
273,রাজনৈতিক,457.0,5.66
274,সহ,457.0,5.66
275,সেটা,457.0,5.66
276,অথবা,447.0,5.65
277,এখনো,447.0,5.65
278,এবার,447.0,5.65
279,কেমন,447.0,5.65
280,খারাপ,447.0,5.65
281,ধন্যবাদ,447.0,5.65
282,প্রয়োজন,447.0,5.65
283,সাহায্য,447.0,5.65
284,হাত,447.0,5.65
285,আশা,437.0,5.64
286,উচিত,437.0,5.64
287,গ্রহণ,437.0,5.64
